Datetime,SMA,SMA_diff,Maneuver
2018-03-08 04:50:49.571232,6864.27022024001,-0.0023682044102315,0
2018-03-08 09:29:01.055040,6864.26920101342,-0.0010192265899604,0
2018-03-08 12:45:29.732832,6864.26845158234,-0.0007494310793845,0
2018-03-08 17:29:24.603936,6864.26761221978,-0.0008393625603275,0
2018-03-08 20:47:36.248064,6864.26737240196,-0.0002398178203293,0
2018-03-09 01:20:07.899072,6864.26635317642,-0.001019225539494,0
2018-03-09 12:21:07.654752,6864.2636852055,-0.0026679709199015,0
2018-03-09 20:24:01.065312,6864.26299573029,-0.0006894752104926,0
2018-03-10 05:34:21.762048,6864.26074744276,-0.0022482875301648,0
2018-03-10 12:03:16.319808,6864.25921860829,-0.0015288344693544,0
2018-03-10 21:31:36.433344,6864.2577197518,-0.0014988564898885,0
2018-03-11 05:12:35.919360,6864.2553815373,-0.0023382145000141,0
2018-03-11 13:12:06.492096,6864.2532531643,-0.0021283730002323,0
2018-03-11 21:01:38.883072,6864.25043532089,-0.002817843410412,0
2018-03-12 04:48:18.334944,6864.24548911338,-0.0049462075094197,0
2018-03-12 12:50:50.421120,6864.24273123186,-0.0027578815206652,0
2018-03-12 20:45:27.818784,6864.23988342232,-0.0028478095391619,0
2018-03-13 05:53:11.475744,6864.23517704882,-0.0047063735000847,0
2018-03-13 12:18:56.202336,6864.23298873777,-0.002188311050304,0
2018-03-13 21:48:14.674752,6864.2302308688,-0.0027578689696383,0
2018-03-14 03:59:50.771904,6864.22762288656,-0.0026079822400788,0
2018-03-14 12:01:09.569280,6864.2250149068,-0.0026079797598868,0
2018-03-14 21:29:40.551072,6864.22315634802,-0.0018585587804409,0
2018-03-15 05:10:23.633184,6864.22075820952,-0.0023981385002116,0
2018-03-15 21:01:34.610592,6864.21758067923,-0.0031775302895766,0
2018-03-16 04:44:33.186912,6864.2151825456,-0.0023981336298675,0
2018-03-16 12:41:05.091360,6864.21308418039,-0.0020983652102586,0
2018-03-16 20:43:26.215104,6864.21110572323,-0.0019784571604759,0
2018-03-17 05:52:56.213184,6864.20564998513,-0.005455738099954,0
2018-03-17 12:21:57.694176,6864.20310197929,-0.0025480058393441,0
2018-03-17 21:47:19.809024,6864.19947482211,-0.0036271571807446,0
2018-03-18 05:30:03.667968,6864.19479849431,-0.0046763277996433,0
2018-03-18 13:30:01.956960,6864.19012217447,-0.0046763198397457,0
2018-03-18 21:28:00.651936,6864.18574562594,-0.0043765485297626,0
2018-03-19 05:06:44.586720,6864.18052974844,-0.0052158775006319,0
2018-03-19 13:06:11.958336,6864.17591340536,-0.0046163430797605,0
2018-03-19 20:57:17.739072,6864.17195654604,-0.0039568593201693,0
2018-03-20 04:42:44.970912,6864.16587138716,-0.006085158879614,0
2018-03-20 12:38:49.089984,6864.16191454231,-0.0039568448501086,0
2018-03-20 20:41:06.686880,6864.15876705616,-0.0031474861498281,0
2018-03-21 05:51:17.593632,6864.15343132598,-0.0053357301803771,0
